Station,skew,kurtosis
Abrahamsberg,1.0482025706747,-0.2454399465260506
Alvik,1.9230203786372457,2.7411244728176456
Angbyplan,0.5243229773725799,-1.6574145807450948
Brommaplan,0.9690205842889482,-0.8988019601936101
Fridhemsplan,1.05231007850298,1.1703567561020671
Gamla Stan,0.14974418033172454,-1.3450738809419807
Gullmarsplan,0.891134459158549,1.0578925838071207
Hötorget,-0.16754646150551245,-0.417548181692188
Islandstorget,1.1553219882512973,-0.31378657580173996
Kristineberg,0.8468787741238524,-0.45799993183892207
Medborgarplatsen,0.23949646612015577,0.22795342695427578
Odenplan,-0.023853101078603736,-0.1975374506727161
Rådmansgatan,1.7684944005649048,4.673342235823916
Skanstull,1.0630956143607027,1.223892560170892
Slussen,0.05286686129746764,-1.1090981325405471
St Eriksplan,-0.18308195793661036,0.18615100022693287
Stora mossen,0.6502030612090083,-1.3201702411028986
T-Centralen,-0.025509558579045563,-0.4224605913054682
Thorildsplan,1.9231663885208137,3.1946341734469055
Åkeshov,1.5814017692960556,0.8226836259430308
