Station,skew,kurtosis
Abrahamsberg,1.0209221312970744,-0.29015314837396833
Alvik,1.8343604838521526,2.436836313836597
Angbyplan,0.5226486023901541,-1.6620900324190402
Brommaplan,0.9596336207470955,-0.9159813508089067
Fridhemsplan,0.76797599554315,-0.4583201904999128
Gamla Stan,0.4102674730381043,-1.202373023365637
Gullmarsplan,1.419149274150946,1.7715538079161757
Hötorget,0.8054780441905488,0.9972149427565533
Islandstorget,1.1610239581243125,-0.3023716289948095
Kristineberg,0.8378723590828785,-0.5375123917041753
Medborgarplatsen,1.1350917837085077,0.5821586856541741
Odenplan,1.2508920356047177,1.4123551809592687
Rådmansgatan,1.3944511615766024,1.3669382589202836
Skanstull,1.1170526006635348,0.4366871279615552
Slussen,0.550340900891825,-0.5167556388751873
St Eriksplan,0.7470358184647949,-0.5377076225662281
Stora mossen,0.6423673864252375,-1.3379823507541453
T-Centralen,1.0244776816360506,2.034707658258535
Thorildsplan,1.9504116608103212,3.0029489002710665
Åkeshov,1.5585345330163043,0.7807073639857682
