Station,skew,kurtosis
Abrahamsberg,-0.09713159655589622,-1.6928244587969914
Alvik,0.47035553418045545,-0.7925923098799936
Angbyplan,-0.17967411802248356,0.758496636326794
Brommaplan,2.447037008744674,4.808505504352018
Fridhemsplan,0.5453820267115425,-0.5503527494414677
Gamla Stan,0.4690131097600723,-0.45104056232643597
Gullmarsplan,1.8152048669037415,3.032086521153502
Hötorget,0.740248770535777,-0.33591556066882156
Islandstorget,-0.6132537955815827,-1.570416566528695
Kristineberg,1.8829645830747574,3.6901135343288463
Medborgarplatsen,0.5796215595453127,-0.7909148244960509
Odenplan,0.6917321942712724,1.195727777455252
Rådmansgatan,0.775282050547717,-0.3371948188262621
Skanstull,1.005499688174835,0.06042477479405273
Slussen,0.8633490607069995,0.5351253780286127
St Eriksplan,2.19697696824393,7.119543724438813
Stora mossen,1.1163125045593407,0.4633446179529144
T-Centralen,0.9548925089928234,0.2711466770320028
Thorildsplan,1.0346154718167555,0.19684984610233114
Åkeshov,0.7525746839840611,5.552646160529751
